" |text снег весь дербышка вывозить комп район снт смородинка идти загрязнение почва леса"
" |text несанкционированный выброс строительный мусор"
" |text район пешеходный тротуар протяжение несколько месяц происходить выброс канализационный стоковый приводить загрязнение окружающий среда"
" |text возле детский центр валяться ртутный лампа"
" |text гора снег ряд парковка республиканский клинический больница просить принять меря"
" |text работник суварстроить складировать строительный мусор зеленый зона самый причинять ущерб экология"
" |text бровецкия мост ряд речка свалка мусор нужный помощь очистка территория весь мусор ветер нести речка"
" |text большой свалка бытовой отход строительный мусор остаток шкура крупный рогатый скот запах потепление сногсшибательный"
" |text стройка свалить возле снт куча мусор"
" |text необходимый убрать разбросать мусор улица затонскай возле лесной массив"
" |text несанкционированный свалка весь мусор попадать озеро забивать дренажный система поселок васильево вокруг прилегать территория также устроить свалка"
" |text весь зима дорога казань свозить снег пропитать реагент автомобильный масло временной хранение жижа таять отравлять природа"
" |text посмотреть пожалуйста фото стать снег который возить город овраг вдоль улица крылов гора черный снег таять вод грязь мусор подниматься затопить наш огород должный это дышать экология наш здоровье опасность принять мера"
" |text доля лесопосадка вывалить строительный бытовой мусор количество больший куча куча находиться друг друг метр среди мусор найти документ страховой полис договор кредит платежный чек пригодиться"
" |text улица рабочий молодежь недалеко дом ежегодно сход снег наблюдать огромный несанкционированный свалка фото прилагаться целое мусор вокруг овраг возможно свалка устраивать жилец частное сектор выкидывать мусор"
" |text несанкционированный свалка овраг напротив далее татцик ул советский далее вблизи жилой дом заповедный зона просить принять мера ликвидация также обозначить данный территория соответствующий знак запрет выброс мусор овражный зона"
" |text въезд гаражный кооператив камаз справа свалка разбросать металлолом часть грузовик двигатель мост плата устроить авторазбор связь это почва выливаться горючий смазозочный материал ряд авто заправка весь это взрывоопасный повтор наркшение"
" |text год подряд зимний период пол город вывозить снег весной снег таять мусор привезти вместе оставаться данный момент образоваться свалка вопрос минэкология убирать свалка это загрязнение природа"
" |text добрый день просьба ликвидировать свалка строительный мусор напротив кладбище киндери лесополоса около дорога"
" |text район ул метр миля мост около также около уфмс сторона строиться адм здание автомойка постоянно образоваться стихийный свалка строительный прочее мусор старание несознательный гражданин пользоваться отсутствие видеокамера фотоловушка"
" |text складирование крупногабаритный мусор территория школа танец"
" |text свалка строительный мусор непосредственный близость мировой суд советский район латышский стрелковый"
" |text время уборка овраг найти около люминесцентный лампа разбитый остальной целое представлять опасность просьба вывезти"
" |text въезд поселок мирный лес устроить свалка мусор пакет"
" |text въезд поселок мк западный сторона пр строитель очень мусор бытовой строительный сильный ветер мусор разлетаться весь поселок просить устранить нарушение"
" |text мусор вдоль река нокса"
" |text свалка мусор здание сельский совет ремонт весь мусор оказаться"
" |text добрый день просьба ликвидировать свалка строительный мусор около лесопосадка заезд новое кладбище"
" |text свалка въезд поселок прямо магазин развязка дорога"
" |text мусорный свалка около метр находиться жилой строение улица мир"
" |text гаражный комплекс маяк свалка мусор который периодически сжигать"
" |text ликвилировать пожалуйста свалка дорога"
" |text житель ближний дом возмутить возле устроить свалка строительный мусор свалка давно никто дело просить срочно принять мера"
" |text ряд р марас деревня сельцо кульбаево марас нурлатский район рт обнаружить несанкционированный свалка который портить экология иметься угроза загрязнение вода речка марас просьба принять мера"
" |text сесть кульбаево марас нурлатский район сторона деревня нариманов обнаружить огромный свалка мусор навоз стройматериал который тлеть выделять неприятный запах самый портить экология воздух просьба принять мера"
" |text убрать гора разнообразный мусор смешанный снег"
" |text самовольный складирование жилец индивидуальный жилой дом зеленый зона прилегать проезжий часть ул клубный отход жизнедеятельность крс"
" |text свалка мусор житель поселок новый вываливать строительный бытовой мусор"
" |text возле кладбище тропинка образоваться свалка убрать"
" |text километр автодорога сокура кирби направление кирби пол недалеко дорога обнаружить несанкционированный свалка влиять негативный образ экологический состояние территория просить принять мера ликвидация свалка"
" |text мусор кладбище который расположить берег волга сваливаться ближний овраг периметр каждый год администрация бездействовать природа загрязняться"
" |text образовать незаконный свалка просить принять мера"
" |text возле р сула берег выгрузить камаз мусор"
" |text территория бывший военный госпиталь близкий дом волков организовать свалка мусор"
" |text достаточно большой свалка мусор основное строительный отход"
" |text ряд бывший комплекс крс образоваться большой свалка мусор просить навести порядок"
" |text строительство экспо пол остаться мусор строительный зима весь оттаять ветер разносить мусор поль"
" |text добрый день просить обратить внимание принять необходимый мера незаконный свалка строительный бытовой мусор въезд борисоглебский кладбище"
" |text улица превратиться свалка житель организовать свалка строительный мусор ветка"
" |text свалка мусор стоить старый жила дом семья забросать мусор очень мусор сплошной мешок мусор очень бутылка ужасный зрелище"
" |text очень большой свалка открытый место"
" |text леса свалка тко строительный мусор объем около грузовой борт"
" |text свалить бетонный мусор торчать арматуромить берег волга"
" |text просить рассмотреть возможность убрать свалка столбище магазин эдельвейс напротив дом ул лесхозовский овраг среди дерево"
" |text жк акварель дом посадка березовый роща устроить строительный свалка ранее обращаться прийти отчет свалка ликвидировать воз ныне принять мера"
" |text складирование мусор гараж"
" |text свалка мусор гараж"
" |text свалка мусор парка"
" |text свалка мусор дорога пол это место убирать мусор камаз экскаватор видеть участок подобрать"
" |text обнаружить несанкционированный недалеко караишево просить принять мера фото высылать геотег также фото"
" |text протяжение х год поль вокруг наш деревня вывозиться птичий помета птицефабрика поселок год октябрь складироваться огромный куча резкий запах аммиак каждый год количество вывозить навоз увеличиваться запах муха невозможно открыть окно"
" |text набережная плита положить вода спуск плав средство вода преднамеренно свалить куча мусор именно мусор приложить фото видно куча всякий хлам который размываться попадать вода это негативно отражаться экология"
" |text напротив инженерный строительный факультет кфу сваливать мусор пусть вывезти"
" |text строительный мусор вдоль лесопосадка"
" |text большой овраг нкст луч который прошлое незаконно вывозиться песок сюда периодически сбрасывать строительный мусор поворот направо поворот жирокомбинат упор конец"
" |text просить убрать мусор берег река ик зона отдых садак понимать это сделать человек это печально возможно ваш уборка человек изменить свой мнение природа образ жизнь"
" |text незаконный свалка мусор локаторный улица"
" |text куча мусор расположить возле грунтовый дорога необходимый очистить территория бытовой мусор"
" |text несколько свалка леса вдоль дорога основное доска мебель старое вещий грунт видимо ряд сносить старое дача выкидывать мусор далеко возить объесть свалка камаз стоялый шлагбаум вьездом лес сломать"
" |text большой количество вываливаться строительный мусор разбор дом признанный аварийный вблизи жилой массив пол чудо завод оао змз опасность возгорание свалка это место недопустимый"
" |text появиться новый свалка лесной массив материал разлагаться портить вид санитарный состояние"
" |text снос аварийный дом сюда свозиться строительный мусор должный"
" |text несколько машина строительный мусор посадка"
" |text мусор гараж свалить около леса"
" |text устройство несанкционированный выезд стройка дом мусор овраг вывезти дом ул новатор"
" |text ряд садовый общество восход сваливать мусор овраг ряд протекать речка пусть вывезти мусор закапывать"
" |text сзади вокруг территория кладбище огромный свалка это весь улетать казанка"
" |text мусор берег озеро необходимый вывезти утилизировать"
" |text сюда незаконно камаз свозиться просто сваливаться строительный прочий крупный мусор больший масштаб необходимый пресечь данный безобразие"
" |text огромный куча бетонный плита убрать"
" |text посадка леса свалить мусор"
" |text дать место организовать свалка мусор принять мера"
" |text старый автостоянка автовокзал сваливать старый асфальт проспект засыпать грунт необходимый убрать полигон закапывать возле вокзал"
" |text местный житель устроить незаконный свалка отход поселок находиться леса самый загрязняться чистый лесна воздух ряд проживать пенсионер летом разноситься ужасный запах обитать бездомный животное хотеть дышать чистый воздух"
" |text далее семь ключ апастовский район образоваться несанкционированный свалка конец улица возле пожарный гидрант свалка находиться ряд ручьем возможно заражение водный объект"
" |text заявка уборка мусор берег урсалинк решить конец заявка https недоверие сомнение uslugi tatarstan ru open gov detail мусор убрать мешок мешок остаться лежать берег урсалинк"
" |text музей производить кап ремонт свой здание строительный мусор складировать двор жилой дом разрешение жильцов номер телефон руководитель давать"
" |text ремонт убрать шпала разбросать весь дорога срочно вывезти"
" |text мусор весь леса видно лежать год администрация ничто предпринимать"
" |text юдинский лес превратиться свалка куча мусор разбитый бутылка"
" |text очередной свалка мусор примерно метр трасса верхний услон видно спутник белый пятно"
" |text деревня кулушевый биюрганский сельский поселение тукаевский район расположиться несанкционированный свалка прямо напротив кладбище дать свалка нести просто экологический преступление являться опасный прошлое год горелый"
" |text дом вывезти грунт стройка вместе строительный мусор бетон пиломатериал полиэтиленывый упаковка разравнивать засыпать грунт"
" |text ряд проезжий часть выгрузить строительный мусор вид битый кирпич"
" |text улица центральный вокруг мусорный контейнер разбросать лесопосадка бытовой мусор"
" |text снт смородинка забросить участок образоваться свалка приезжать камаз каждый выгружать мусор просьба принять мера"
" |text повторный обращение видимо кроме предел работа никто следить территория расположить куча мусор который завалить грунт остальной заросль трава поэтому решить ничто делать"
" |text каждый день проезжать мимо свалка полный бардак мусор разбросать весь дорога контейнер ставить середина дорога возможно проехать вокруг бегать дикий собака пешком пройти страшно бегать огромный крыса который разносить зараза дождь мусор попадать сухой река"
" |text убрать вывести мусор прилегать зеленый территория песчаный полоса кировский дамба сторона адмиралтейский слобода"
" |text свалка строительный мусор открытый территория"
" |text свинство особо крупный размер"
" |text свалка иусор отход"
" |text свалка мусор гаражный кооператив около гораж"
" |text свалка мусор отход около гараж"
" |text свалка мусор отход"
" |text свалка металлолом около школа"
" |text лэп находиться свалка кирпичный бой срез асфальт число кусок необходимый убрать свалка"
" |text пересечение улица дачный улица победа грузовой машина начать привозить мусор сформироваться свалка смотреть эколог кругом жилой дом"
" |text необходимый ликвидировать несанкционированный свалка территория снт индустрия проезд поселок красный ключ дамба далее улица снт энергетик конец озеро координата уборка мусор полный"
" |text пустой участок свезти тонна строительный прочее мусор свалка опасный день горелый житель вынудить вызвать пожарный ряд жилой дом леса речка мочь появиться непонятно просить принять мера"
" |text улица происходить незаконный складирование мусор замечание человек реагировать свалка каждый днем расти мешать проезд машина заводиться мышь крыса свалка создавать угроза здоровье проживать просить принять мера устранение несанкционированный свалка"
" |text требовать убрать нужно утилизировать бросать первое место"
" |text улица зона захламить твердый бытовой отход строительный мусор сухой ветка нарушать санитарный норма способствовать возникновение пожароопасный ситуация размножение паразит различный переносчик инфекция человек должный дышать просить предпринять мера"
" |text свалка мусор город набережная челны гаражный кооператив вдоамовца около гараж"
" |text свалка мусор город набережная челны гаражный кооператив вдоамовца около гараж ряд гараж"
" |text свалка мусор город набережная челны гаражный кооператив вдоамовца около гараж ряд гараж"
" |text свалка строительный мусор необходимый очистить территория свалка"
" |text обнаружиться свалка строительный теплоизоляционный материал дорога дол алый парус координата n e"
" |text территория въезд улица русловый большой х месяц засыпать строительный мусор автомобилист часто выбрасывать мусор это место прямо дорога доезжать мусорка просьба очистить территория"
" |text дом стоить долгостроиться объект неделя назад объект вновь оградить забор ввиду сужение территория подрядчик выполнить работа мусор кусок бетон ар ры сухой кустарник далее весь периметр убрать просить экологичес надзор взять контроль"
" |text мусор обочина национальный парка координата лишь очаг n e"
" |text необходимый ликвидировать несанкционированный свалка"
" |text необходимый ликвидировать несанкционированный свалка"
" |text необходимый ликвидировать несанкционированный свалка"
" |text необходимый ликвидировать несанкционированный свалка"
" |text необходимый ликвидировать несанкционированный свалка"
" |text необходимый ликвидировать несанкционированный свалка"
" |text необходимый ликвидировать несанкционированный свалка"
" |text принять мера загрязняться почва химия который мыть автомобиль"
" |text идти ул заречный школа сторона гора колпашка давний время называться возвышенность гора мостик увидеть свалка мусор прямо река видимо еще категория человек который простой скинуть мусор река самый загрязнить пр ду"
" |text напротив ит парк незаконный свалка мусор"
" |text просьба убрать свалка старое поддон"
" |text лаишевский район сесть усад ул дсу возле дом ремонт дворовый дорога свалить грунт асфальтный срез бетонный блок кусок арматура возле газовый распределитель"
" |text пол сваливать биологический отход который разлагаться отравлять воздух сильный удушливый запах дорога ближний село особенно время вываливать разравнивать"
" |text свалка мусор поселок большой афонасовый напротив дом улица ленин"
" |text свалка включение полимерный материал дорога проходить овраг"
" |text свалка мусор гараж кооператив энергетик около гараж"
" |text овраг озеро родник гараж кооператив гск заваливать мусор отход"
" |text свалка мусор отход вдоль дорога гаражный кооператив гск престиж нк участок"
" |text вдоль садовый участок ночь грузовой машина который удаться запомнить номер свалить строительный мусор скрыться неизвестный направление владелец садовый участок обеспокоить подобный род действие происходить систематически просить принять мера"
" |text вывалить строительный мусор леса возле кладбище нагорный"
" |text необходимый ликвидировать несанкционированный свалка ветка бетонный блок бой кирпич"
" |text гск олимпийский пожарный выезд находиться крайний левый улица происходить складирование отход ввид старый мебель прочее данный момент это весь сжигать гск заметить дым едкий запах"
" |text необходимый ликивидировать несанкционированный свалка ртутный лампа промзона около дорога гаражный кооператив гск автомобилист гк автосервис ксения проехать ул первопроходец поворот направо доезжать азс татнефть далее азс уфа ойл нея пов"
" |text обращать ваш внимание заповедный зона печискать территория печищенский разрез который являться геологический памятник природа обрушиться штольня неизвестный лицо регулярно происходить сброс строительный мусор просить принять мера"
" |text вывалить несколько кучить строительный бытовой мусор поворот снт фотон правый съезд метр сторона царицино"
" |text постоянный свалка строительный мусор бытовой отход"
" |text ул карьерный сделать капремонт планировка всесть строительный мусор столкать дом образоваться стихийный свалка начать бросать бытовой мусор просьба ответственный организация убрать свалка"
" |text напротив дом улица р гайнуллин находиться свалка строительный мусор старое стеновый плита блок далее ребенок играть практически каждый день плита лежать навалом мочь привести печальный последствие"
" |text автомашина камаз гос номер су тонник смотреть предупреждение вываливать несанкционированный свалка наш плата малый буинк буинский район рт полный машина строительный мусор просить принять мера"
" |text соседний участок напротив далее б ул никитин собственник др садовод устроить несанкционированный свалка отход весь сваливать участок отход сад яблоко картошка дом мусор весь др сосед сваливать участок развестись множество крыса мышей"
" |text систематически житель село создаваться свалка ул марджани весь складывать земля начинать вонять тухнуть бегать крыса беседа приводить сельсовет село обращать жалоба конкретный нарушитель принять мера устранение свалка невыносимый"
" |text шина выкопать давно сей пора утилизировать мочь ребенок залезть повредить нибыть экология вредить просьба организовать вывоз шина"
" |text добрый день житель год казань пос вознесенский яфракл напротив наш дом кладбище ряд кладбища зеленый зона послед месяц каждый день начать возить бытовой мусор ворона растаскивать мусор весь двор очень огорчать вид свалк"
" |text вдоль грунтовый дорога карьера около несколько свалка"
" |text царицынский леса координата садоводческий товарищество сбрасывать мусор овраг"
" |text вывезти собранный мусор автомост кировский дамба свалка мусор видно далекий город туристический вроде"
" |text свалка мусор гараж кооператив дружба около гараж"
" |text свалка мусор отход гаражный кооператив гк дружба около гараж"
" |text свалка мусор отход гаражный кооператив гк дружба около гараж"
" |text свалка мусор отход гаражный кооператив гк дружба около гараж"
" |text свалка мусор отход гаражный кооператив гк дружба около гараж"
" |text свалка мусор отход гаражный кооператив гк дружба около гараж"
" |text свалка мусор отход гаражный кооператив гк дружба около гараж"
" |text свалка мусор отход гаражный кооператив гк дружба около гараж ряд"
" |text свалка мусор отход гаражный кооператив гк дружба около гараж ряд"
" |text свалка мусор отход гаражный кооператив гк дружба около гараж ряд"
" |text свалка мусор отход гаражный кооператив гк дружба около гараж ряд"
" |text свалка мусор отход гаражный кооператив гк дружба около гараж ряд"
" |text свалка мусор отход гаражный кооператив гк дружба гк молотый вдоль дорога"
" |text свалка мусор отход гаражный кооператив вдоамовца около гараж ряд"
" |text свалка мусор отход гаражный кооператив вдоамовца около гараж ряд"
" |text свалка мусор отход гаражный кооператив вдоамовца около гараж ряд"
" |text просить утилизировать отход производство муниципальный земля зеленый зона"
" |text санкционировать многолетний свалка мусор бытовой отход задний сторона лицей имя карпов овраг территория садовый общество здоровье протяжение многий год овраг камаз вываливать мусор затем председатель засыпать земля"
" |text просить ликвидировать свалка утилизировать производственный отход муниципальный земля зеленый зона"
" |text заезд кладбище метр несанкционированный свалка"
" |text добрый день сосед проживать адрес пгт нижний мактам ул залятов метр наш улица дом й дом сосед улица первомайский далее задний двор выходить наш улица устроить свалка прямой слово пожалуйста разобраться очень грязно неприятно"
" |text мусор бытовой строительный участок дорога выглядеть очень эстетично"
" |text неделя возить мусор овраг адрес год чистополь ул разин около дом сначала возить просто бревно возить полиэтилен рубероид который разлагаться намного долгий обычный древесина просить разобраться дать ситуация прекратить сваливать мусор"
" |text выезд тетеево поворот нармонка справа сторона свалка мусор"
" |text свалка мусор вдоль подьездной автодорога котеджный поселок карьерный улица ым проездом"
" |text свалка мусор вдоль подьездной автодорога котеджный поселок карьерный улица ым проездом"
" |text свалка мусор вдоль подьездной автодорога котеджный поселок карьерный улица ым проездом"
" |text свалка мусор гск фортуна бывший гк силикатчик около гараж"
" |text свалка мусор вдоль подьездной автодорога котеджный поселок карьерный улица ым проездом"
" |text свалка строительный мусор отход гск фортуна бывший гк силикатчик река кама"
" |text свалка строительный мусор отход вдоль река кама сторона гск фортуна бывший гк силикатчик"
" |text свалка строительный мусор отход вдоль река кама сторона гск фортуна бывший гк силикатчик"
" |text свалка мусор около шалаш бомж вдоль подьездной автодорога котеджный поселок карьерный улица ым проездом"
" |text свалка мусор около шалаш бомж вдоль подьездной автодорога котеджный поселок карьерный улица ым проездом"
" |text добрый день дорога вишневка чернопение советский район год казань очередной манипуляторщик газелист свалить груда мусор стекло пол просьба принять мера"
" |text свалка мусор ым проездом карьерный улица"
" |text свалка мусор ым проездом карьерный улица"
" |text свалка мусор ым проездом карьерный улица"
" |text свалка мусор около река кама ым проездом карьерный улица"
" |text свалка мусор ым проездом карьерный улица"
" |text несанкционированный свалка полный беспредел протяжение длительный время каждый день утро ночь большой камаз весь ближний свалка везти мусор улица химический закапывать земля перерыть весь вдоль поперек это законно бывать"
" |text достаточно большой свалка мусор похоже стройка коттедж"
" |text озеро лежать куча строительный мусор мешок понятный вещество который мочь попасть озеро нанести непоправимый ущерб водный среда"
" |text свалка авторезина южный сторона гаражный кооператив гск автомобилист сторона поселок афонасовый улица ленин"
" |text свалка асфальто бетонный отход гаражный кооператив гск престиж нк сторона выездной автодорога"
" |text свалка мусор отход гаражный кооператив гск престиж нк сторона гк фаэтон"
" |text свалка отход шифер гаражный кооператив гск престиж нк южный сторона сторона гк фаэтон"
" |text свалка отход шифер гаражный кооператив гск престиж нк южный сторона"
" |text свалка мусор гаражный кооператив гск престиж нк около гараж"
" |text свалка мусор гаражный кооператив гск автомобилист поселок афонасовый сторона дом улица ленин б"
" |text свалка мусор гаражный кооператив гск автомобилист восточный сторона"
" |text свалка мусор гаражный кооператив гск автомобилист сторона гк урожай нк"
" |text свалка мусор вдоль автодорога гаражный кооператив гск автомобилист гск урожай нк"
" |text свалка мусор вдоль автодорога гаражный кооператив гск автомобилист гск урожай нк"
" |text свалка мусор вдоль автодорога гаражный кооператив гск престиж нк автомобилист гск"
" |text свалка мусор северо заподно угол гаражный кооператив автомобилист вход забросить административный здание"
" |text несанкционированный свалка строительный мусор доля лесной массив"
" |text регулярно свозить свой отход каждый разом становиться большой большой"
" |text свалка строительный мусор кусок бетон необходимый привести территория нормативный состояние"
" |text территория земельный участок несанкционированный свалка мусор"
" |text самосыровый конец ул мир вестись незаконный свалка мусор снег машина подъезжать номер это происходить переодическа житель обращаться компетентный орган неоднократно"
" |text добрый день ночь февраль год воздух район специфический неприятный запах сложно описать неприятно сладковатый похожий протухший чеснок эпизод ранее именно ночь возможно это сброс газ самосыровый помочь"
" |text убрать мусор стройматериал складировать предел свой территория"
" |text находиться незаконный свалка мусор который привезти участок ул комсомольский около магазин магнит строиться новое здание просить разобраться ситуация утилизировать мусор закон положить вывести полигон бугор обычно это делать"
" |text свалка мусор город нижнекамск проспект химик банк аптека сторона магазин запчасть"
" |text свалка мусор коробка труба около мегазина проспект"
" |text свалка строительный мусор отход около морской контейнер территория магазин проспект сторона дом проспект строитель"
" |text ряд лэп строительный мусор"
" |text поселок техснаб хозяин ул зеленый далее сливать всякий жидкость задний ворот который выходить ул лесной далее весь это стекать проезжий часть соседний участок неоднократно разговаривать хозяин результат просить разобраться"
" |text свалка мусор около нтр проспект химик"
" |text свалка мусор забросить гаражный кооператив"
" |text комплекс участок многодетный возить мусор"
" |text сввлка мусор вдоль дамба река кама снт дуслыко снт индустрия"
" |text сввлка мусор вдоль дамба река кама прота кривель сторона снт индустрия"
" |text сввлка мусор вдоль дамба река кама сторона снт индустрия"
" |text свалка мусор вдоль река кама сторона снт индустрия"
" |text просить убрать мусор ул колымский"
" |text забор автомастерская складировать мусор прятать посторонний глаз необходимый убрать"
" |text земля покрыть вода желтый молочный цвет площадь загрязнение большой кв метр вчера вечером"
" |text магазин выволила свой мусор лесом пакет упаковка вещий мусор новый обувь пакет пересылка"
" |text территория снт смородинка председатель завезти строительный мусор"
" |text несанкционированный сваливать мусор вдоль дорога просьба разобраться"
" |text март год непрерывно гореть свалка плата айша зеленодольский полигон тбо"
" |text свалка мусор гаражный кооператив автомобилист гск около гараж"
" |text свалка мусор гаражный кооператив гк автомобилист около гараж"
" |text свалка автопокрышка мусор вдоль автодорога гаражный кооператив гск урожай нк гск автомобилист"
" |text свалка автопокрышка мусор юговосточный угол гаражный кооператив гск фаэтон вдоль овраг речка субай"
" |text свалка автопокрышка мусор гаражный кооператив гск автомобилист около гараж"
" |text возле дорога свалка мусор битый стекло пластик строительный мусор"
" |text свалка мусор гаражный кооператив гк фаэтон восточный сторона вдоль овраг ручьем впадать речка субай около гараж"
" |text свалка это место увеличиваться каждый день"
" |text свалка мусор автозаправка уфа ойл поселок городской тип пгт афонасовый"
" |text свалка мусор вдоль автодорога гаражний кооператив шинник престиж нк участок"
" |text свалка мусор гаражный кооператив автомобилист гск сторона гск"
" |text наблюдаться куча всякий мусор вдоль склон старое русло казанка"
" |text свалка мусор село большой афонасовый улица ленин автомобилист гск"
" |text свалка мусор вдоль ручей сторона склон овраг гк фаэтон"
" |text свалка мусор вдоль автодорога автозаправка уфаойло село большой афонасовый улица центральный"
" |text свалка мусор вдоль дорога гск гск метр автомобилист"
" |text свалка мусор вдоль дорога гск гск метр автомобилист"
" |text весь зима вывозить снег райцентр пестрец дамба снег расстаить мусор весь дамба ветер весь разносить просто ужас свалка полигон тбо возить убирать принять мера каждый год повторяться это закончиться"
" |text ряд метро козий слобода лежать мусор"
" |text вывалить мусор ветер разносить весь поль улица совесть хватить приехать ночью вывалить"
" |text дом валяться мусор вид худой помойка"
" |text складирование строительный бытовой мусор"
" |text необходимый убрать свалка улица междуреченский около водонапорный башня устроенный местный предприниматель депутат"
" |text край леса выполнить строительный мусор"
" |text гараж ряд ряд ул шевченко ул монтажный ул базовый образоваться большой свалка мусор"
" |text огромный свалка пос имя татцик срочно нужно устранить фото видно именно это свалка"
" |text свалка мусор вдоль автодорога улица чистопольский оо челны бройлер"
" |text свалка мусор вдоль автодорога улица чистопольский оо челны бройлер"
" |text жилец дом номер автомобиль марка газель год номер наш регулярно производиться выгрузка строительный мусор дом номер результат образоваться несанкционированный свалка"
" |text сосед привозить отход бросать везде разводить куча навоз мусор невозможный ванизм скопление муха"
" |text несколько год подряд обращаться просьба привезти порядок место сбор мусор плата салмач улица жемчужный мусор разнести несколько километр вокруг леса речка нокса весь это приводить экологический катастрофа хватить присылать отписка действовать"
" |text территория небольшой зеленый массив мусор строительный отход убраться пожалуйста"
" |text лежать год"
" |text несанкционированный свалка мусор ремонт старое обои мешок смесь металл жесть ряд находиться болото который обитать лягушка бобр"
" |text свалка мусор улица чистопольский магазин мясо колбаса челны бройлер район гостиница афоня индустриальный парк пионер"
" |text свалка мусор улица чистопольский магазин мясо колбаса челны бройлер район гостиница афоня индустриальный парк пионер"
" |text свалка мусор снт шинник шинник вдоль стальной мост проток озеро кривель"
" |text свалка мусор снт оао нижнекамскнефтехим снт шинник вдоль проток озеро кривель"
" |text склад татспиртпром обнаружить свалка мусор убрать оперативно отход мочь раскидать леса"
" |text просить рассмотреть вопрос несанкционированный складирование бытовой отход овраг улица яхина гай сабитов свалка образоваться результат выброс строительный мусор исполнительный комитет год кукмор"
" |text свалка мусор снт оао нижнекамскнефтехим снт спутник вдоль около конечный остановка маршрут возле магазин фактория"
" |text тк энергия столбище несанкционированный свалка строительный мусор последний год значительно прирасти просить очистить территория"
" |text свалка мусор гаражный кооператив автомобилист гск около гараж"
" |text свалка мусор вдоль гаражный кооператив гк техуглерод гк березка сторона речка омшанка"
" |text свалка мусор вдоль автодорога гаражный кооператив гк фаэтон гк автомобилист"
" |text апрель обнаружить свалка бытовой строительный мусор территория сельский поселение богородский пестречинский район домохозяйство комаров водоохранный зона река нокса"
" |text свалка мусор гаражный кооператив автомобилист гск около гараж"
" |text свалка мусор улица лесной береговой вдоль река омшанка"
" |text свалка строительный бытовой мусор точный координата указать"
" |text свалка мусор обьединить гаражный кооператив огк нефтехимик вдоль овраг около гараж"
" |text лежать очень большой куча мусор убрать пожалуйста"
" |text свалка мусор овраг родник гаражный кооператив автомобилист гск возд гараж"
" |text свалка мусор овраг родник гаражный кооператив автомобилист гск возд гараж"
" |text свалка мусор оо бакелит оо евробетон лесом"
" |text свалка строительныый отход битумуум кровля рубероид мусор вдоль леса южный оо бакелит оо евробетон"
" |text возле леса опор ввл кв"
" |text свалка мусор гаражный кооператив автомобилист вдоль овраг река омшанка около гараж"
" |text свалка строительный мусор отход вдоль южный бетонный периметральный ограждение оо бакелит оо евробетон сторона леса"
" |text свалка мусор отход вдоль южный бетонный периметральный ограждение оо бакелит оо евробетон сторона леса"
" |text свалка бу автомобильный шина около вьезда гаражный кооператив автомобилист"
" |text свалка мусор гаражный кооператив автомобилист оклоть гараж"
" |text свалка мусор гаражный кооператив автомобилист оклоть гараж"
" |text свалка мусор гаражный кооператив автомобилист вдоль овраг река омшанка около гараж"
" |text свалка отход мусор гаражный кооператив автомобилист вдоль овраг река омшанка восточный сторона около гараж"
