" |text необходимый устранить шакал избежание летальный исход"
" |text обращаться дать проблема пара месяц назад никакой реакция ничто сделать отписаться просто бегать собака бегать лаять прохожий ребенок весь бояться большой собака"
" |text стая собака перемещаться город страшно идти работа центр город это утро благо ряд здание налоговый инспекция зайти переждать поступить еще женщина получиться поступить день собака покусать мальчик около школа"
" |text бездомный собака строительный площадка домкор стройка расположить возле детский сад собака агрессивный пугать ребенок"
" |text жк салават купер улица виктор сажинов полно бродячий собака маленькая взрослый собака пожалуйста помочь отловить"
" |text собака гулять целый день наморник около дом ул шоссейный собака больной спать ом подьезда лестница около кв очень приятный запах грязный ходить туалет прямо подьезда кушать педоставлять опасность ребенок ого подъезд убирита пож"
" |text сегодня ребенок наброситься стая собака двор дом зорг ряд гимназия двор думать ходить ребенок ряд школа садик детский центр кружка бокс собака примерно просить отловить соботка округа"
" |text начать бегать бездомный собака напасть ребенок очень опасный страшно ходить вечером"
" |text бездомный собака сквер чишмяло рынок ломжинский"
" |text сегодня двор дом б улица халезов окружить свора крупный собака очень страшно прошлое год знакомый покусать очень хотеться оказаться ситуация"
" |text двор бегать еще большой собака преимущественно детский площадка страшно гулять кидаться ребенок"
" |text придомовый территория дом искра обитать агрессивный собака хозяин умереть дом забросить собака нападать человек проходить мимо улица"
" |text бездомный собака собираться стая который начать нападать облаивать особенно опасный вечерний время бегать вблизи детский площадка пугать ребенок"
" |text напротив дом ул фучик бегать агрессивный собака кидаться человек далекий считать стать нужно быстрый уносить оттуда нога пожалуйста принять мера ряд детский сад школа ребенок мама коляска вряд смочь имя противостоять"
" |text каждый ночь период утро сон жильцов прерываться громкий лай собака"
" |text обнаружить собака это ближний заявка ночью недалеко это место бегать лаять огромный стая дикий собака"
" |text обнаружить собака реальность большой ночью недалеко это место бегать лаять огромный стая дикий собака"
" |text ряд медицинский колледж сторона улица нариманов кидаться человек бездомный собака"
" |text территория наш поселок новое салмач бегать большой количество бездомный бродячий собака несколько случай проявление агрессия нападение житель март аналогичный заявка который решить закрыть просить принять соответствующий мера"
" |text добрый день обращаться ранее спасибо часть собака удаться поймать весь стать взрослый прежний кусать прохожий нападать ребенок школа гимназия также заходить двор собственник жилой индивидуальный дом гадить разносить мусор просить ва"
" |text рано утром бегать набережная казанка самый конец набережная около мост миллениум жить стая бездомный собака постоянно нападать велосипедист пожалуйста решить вопрос самый центр город турист гулять"
" |text ст юбилейный остановка автодорстрой орловский пол вестись строительство жилой дом бегать агрессивный собака кидаться человек проезжать транспорт просить решить проблема"
" |text просить отловить стая собака обитать район колхозный рынок вокзал"
" |text стая собака бегать округа покусать ребенок мужчина"
" |text двор бродить бездомный собака"
" |text просить отловить собака координата сотня метр детский площадка дом р гареев жить свора агрессивный бродячий собака свора считать площадка свой территория нападать гулять леса возле площадка человек мочь загрызть ребенок"
" |text бездомный собака бросаться человек весь сосед шок"
" |text возле детский площадка комсомольский площадь стая собака лаять бросаться ребенок велосипед проезжать мимо"
" |text бездомный собака рынок ломжинский"
" |text ряд детский сад стоить забросить здание который давно облюбовать бомж еще обитать бездомный собака который выбегать лаять прохожий выходной бегать крупный дворняга"
" |text пугать маленькая ребенок опасаться покусать"
" |text двор гулять ребенок опасный взрослый бояться просить истребить собака весь город полно"
" |text бездомный собака бегать площадь ленин кидаться прохожий мешать репетиция парад победа"
" |text стая бродячий собака достигать штука"
" |text территория возле дом тополевый находиться бездомный собака предыдущий заявка ответ отловить прилагать фото доказательство обратный"
" |text большой количество бездомный собака близкий го подъезд просьба решить проблема"
" |text собака нападать человек пройти дорога невозможно ребенок пугаться сосед говорят сколько написать толк бояться ребенок выходить улица пусть забрать пожалуйста"
" |text обитать бродячий собака мочь выбежать трасса метр создать аварийный обстановка просить ликвидировать появиться новый помета"
" |text район нефтеавтоматика полно бездомный собака бегать возле магазин пятерочка смак школа двор невозможно пройти улица сегодня собака бежать мальчик напугать водить ребенок школа сад писать собака обнаружить ночь слышный лай"
" |text бегать крупный бездомный собака пугать житель ребенок ночью лаять"
" |text собака бродить целое стая просить отловить"
" |text возле дом ул гагарин сторона подъезд сторона мусорка слишком большой скопление бездомный собака который пугать жильцов дом округа"
" |text проспект год тукать далее подъезд завестись очень бездомный кошка собака попытка выгнать подъезд безуспешный возвращаться обратно это подъезд стоить постоянный вонь мочить далее"
" |text бездомный бросить собака большой количество постоянно находиться двор салават купер сегодня вечером адрес виктор сажинов двор детский игровой площадка находиться собака это простой дворняжка бойцовый порода"
" |text развестись собака поселок утром возле дом сторона далее солнышко бегать стая бродячий собака проходить ребенок страшно мимо ходить обходить нужно отловить отправить приют пока поздно беда"
" |text напротив дом сайдашева труба отопление организовать санаторий собака постелить ковер поставить миска кормление собака отдыхать лежать довольный наесться греться солнышко это весь действо происходить возле садик"
" |text стая собака бросаться человек велоспедистовый ходить страшно сутки напролет стоить лай псарня становиться тепло невозможно открыть окно лай"
" |text улица лагереный далее дом жить бездомный щенок также ходить взрослый собака просить принять мера опасный ребенок выходить улица"
" |text улица зур урам бродячий собака просьба принять мера очень страшно ходить"
" |text бегать бездомный собака одиночка стая просить принять мера наш двор расположить школа ребенок"
" |text детский площадка бегать бездомный собака"
" |text снова стая агрессивный собака гол нападать взрослый говорить ребенок ребенок наш жк покусать просить сделать нормальный рейд отлов стая обитать район царицыно малое клык перемещение вдоль нокс садовый участок"
" |text весь ул железнодорожник обитать стая бездомный собака щенок количество гол нападать"
" |text детский площадка собака лаять ребенок принять мера организовать отлов"
" |text район стройка постоянно находиться около собака каждый ночь облаивать проезжать машина проходить мимо человек"
" |text суббота апрель стая собака наброситься мальчик весь это происходить район школа сторона улица гоголь момент идти коляска который находиться месячный ребенок идти старший сын школа собака наброситься свалить нога"
" |text собака детский площадка"
" |text бродячий животное поселиться кладбище просить принять мера"
" |text двор гулять бездомный собака ловить кошка детский площадка ужасно неприятный запах вообще ребенок страшно помочь пожалуйста избавиться проблема"
" |text просить изловить отстрелить дикий собака свой щенок частное подворье гражданин воровать убивать кура гусь создавать опасность жизнь маленькая ребенок"
" |text около дом лукин бездомный собака обливать прохожий защищать территория забегать территория детский сад видеть каждый день"
" |text бездомный собака подрасти щенок"
" |text кругом бездомный собака ребенок опасный отпускать улица"
" |text возле дом проспект победа проспект победа б бродить агрессивный стая бродячий собака количество шт большой опасность представлять ребенок игровой площадка близлежащий парка"
" |text необходимый проехать соседний улица собака сидеть место бездомный ода отловить остальной убегать либо попасться глаз"
" |text собака мешать спать пугать ребенок перекрывать выход двор таскать мусор помойка весь двор рвать мешок около взрослый щенок"
" |text около здание котельная гараж адрес адоратский б стая дикий собака нападать ребенок идти школа сегодня большой собака напасть дочь возвращаться урок домой мешок сменный обувь смгла отбиться лаять пытаться укусить ребенок"
" |text обращаться открытый казань толк стая собака щенок появляться скорость свет столько наш двор очень ребенок хотеться трагедия обернуться отлов бездомный собака происходить закрывать заявка собака маленький становиться"
" |text двор возле гимназия возле садик ходить стая бездомный собака лаят весь агрессивный гулять ребенок бояться ребенок взрослый данный момент собака детский песочница дом латышский стрелковый далее просить принять мера"
" |text стая бездомный собака гулять улица станционный далее ст высокий гора отпугивать ребенок очень опасный"
" |text очень бояться ребенок кидаться кусать правда хотеться ждать новый наподения"
" |text деревня бродить стая собака щенок взрослый кабель начаться дачный сезон ребенок играть опасный идти деревня луговой место обитание собака"
" |text возле аптека ост сафиуллин напротив дом номер ул фучик стая бродячий собака взрослый особь количество гол огрызаться прохожий просить принять мера"
" |text бездомный собака давать пройти"
" |text шакал особо опасный кидаться человек район дом улица академик лаврентьев дом необходимый устранить шакал очень агрессивный находиться основное около дом номер улица лаврентьев"
" |text вокруг дом обитать стая бездомный собака собака нападать проходить мимо человек подпускать житель мусорный контейнер просить решить проблема"
" |text страшно ходить улица ребенок ребенок бояться ходить школа сегодня ходить стая собака ночью лаять остановка предположительно стая жить строительный площадка дом срочно принять мера"
" |text бегать бездомный собака нападать ребенок двор дом территория детский сад жить детский площадка песочница"
" |text бездомный животное никуда делиться"
" |text бродячий собака бросаться ребенок случай укус"
" |text двор тельман сулейманов бегать бродячий собака стая кругом маленькая ребенок собака очень агрессивный кидаться человек просить принять мера"
" |text свора собака нападать ребенок взрослый"
" |text бездомный собака ежедневный опасный гостить район пересечение улица энгельс гафиатуллин красноармейский казанский опасный ходить улица гулять ребенок"
" |text бездомный собака штука лаять драться целое днями ночь"
" |text двор дом бегать лаять ребенок большой лохматый собака агрессивный ошейник намордник поводок принять пожалуйста мера пока никто укусить"
" |text детский площадка лежать собака погулять ребенок давать лаят"
" |text поселок сухой река ряд школа улица заречный приблудиться большой собака который ощениться кутенок просить принять мера"
" |text овчарка еще большой собака бегать двор буквально детский площадка"
" |text ул пилотский междду дом частное сектор женщина напасть большой стая бродячий собака результат женщина получить множественный укус обращение больница травмпункт собака очень агрессивный просить скорее произвести отлов собака"
" |text ул агрызский бегать большой бездомный собака"
" |text очень бездомный собака который бегать стая весь дербышка"
" |text июнь год район часы перекресток улица глебоуспенкий краснослободский собака количество штука наброситься молодой человек покусать простить принять срочный мера"
" |text сколько звонить писать принять мера собака бросаться человек двор ребенок собака спать детский песочница страшно выходить двор мочь наброиться приходить поселок дружба"
" |text собака вознесение ул иван кабушкина сгрызть около кошка месяц начать вгрызаться ребенок просить отловить собака"
" |text добрый день аметьево бегать стая бездомный собака возможно ходить набрасываться человек просить принять мера"
" |text просьба выловить маленькая щенок спать машина мешать спать население"
" |text устать просить отловить собака здоровый кобель устраивать кровавый бойня детский площадка ребенок визжать ужас бояться спуститься горка бояться отпускать ребенок гулять почему наш просьба игнорировать"
" |text пос салмач перекресток улица центральный овражный жить бездомный собака нападать человек число ребенок"
" |text снова появиться бродячий собака микрорайон просить провести рейд отлов обитать район царицыно малое клык"
" |text беспризорный собака задрать привязать около дом коза просьба прислать служба отлов беспризорный собака"
" |text улица возрождение проживать бездомный собака фото еще черный собака фото прикрепляться нападать ребенок велосипедист ребенок бояться выходить улица вечером взрослый страшно выходить глаз человек разорвать домашний кошка просить очистить улица собака"
" |text просить принять мера устранение скопление бездомный собака это участок который предостовлять большой опастность житель"
" |text наш улица бегать бездомный собакижить конец улица возле молочный кухня сегодня утро растерзать наш кот штука рыжий черный серый окрас запомнить жестоко расправиться домашний питомец принять мера"
" |text двор прикормиться собака большой черный искусать ребенок милиция заявление написать собака агресивный бешаный свидетель искусать сильно женщина дугий ребенок кусать принять мера ждать нибуть загрызть"
" |text бездомный собака районный лыжный база справа сторона здание ряд прокат велосипед собираться собака"
" |text собака гулять территория двор бросаться прохожий лаять ходить стая"
" |text добрый день сегодня напасть стая собака дать участок бешеный стая собака кидаться человек это случай просить помочь решить данный проблема пока жертва спасибо"
" |text поселок старое победиловый район снт залив роса собака сбиться стая около заметить штука средний размер бродить дог аллея поиск пища слово сказать наступить лето ребенок сад просить принять мера"
" |text перекресток ул татарстан ул гоголь постоянно появляться бездомный собака шт вести агрессивно ребенок который ехать велосипед самокат"
" |text район снт виктория алма гидростроитель находиться свора бродячий собака бегать снт загрызть несколько домашний кошка также пес дислоцироваться въезд производственный база жилища жби цемент ул шлюзовый"
" |text двор дом улица менделеев подъезд год ребенок год покусать собака дать собака каждый день сидеть возле это подъезд просить принять мера"
" |text стая бродячий собака примерно загнать разорвать кошка собака стая шт двор гулять ребенок время собачей свадьба собака становиться агрессивный отношение человек просить принять мера"
" |text просить провести проверка принять мера факт нападение дикий собака плата большой кабан примерно улица овражный восточный стая дикий собака напасть бродить собака овраг находиться пересечение улица овражный полевой"
" |text просить принять мера обитать зеленый зона остановка парковка"
" |text ул объездной возле база татвторчермет постоянно бегать свора собака собака крупный привязка кидаться пешеход велосепидистовый очень страшно проходить просить принять мера"
" |text просить отловить бездомный собака который находиться отметить выше адрес территория помойка вблизи жилой дом помойка кидаться прохожий громко лаять"
" |text около гск мотор стая бродячий собака вести неадекватно кидаться ребенок прохожий"
" |text спуск улица верхоянский улица вересаев стая бродячий собака также кидаться человек невозможно ходить"
" |text город смотреть выделить бюджет средство производиться отлов бродячий животное"
" |text сегодня год утро улица свобода большой собака около магазин нур укусить женщина происшествие сообщить еддс оно принять перенаправить ветеринарный клиника позвонить туда телефон сообщить отлов собака занимый"
" |text большой злой собака несколько год страшно ходить ребенок гулять очень опасный это район постоять бездомный собака принять мера отлов проить мост сторона сад железнодорожный узел"
" |text бездомный собака собираться возле мусорный контейнер"
" |text сообщать скопление бродить собака адрес петра алексеев далее создавать угроза жизнь здоровье человек число ребенок вести агрессивно нападать прохожий домашний животное указанный собака проходить обязательный вакцинация бешенство также соз"
" |text здравствовать заинск район бродячий собака бродить стая исполком город ждать искусать нужно быстрый отловить человек постоянно жаловаться толк ноль"
" |text беспокоить бродячий собака некоторый время весь спокойно пока соседка стать подкармливать бродячий собака окупировать придомовый территория подьезд сегодня ребенок смочь выйти улица подьезда стоялый свора собака плата"
" |text около додый пицца собака ребенок ходить"
" |text второе подъезд адрес ул клара цеткин бездомный кошка загадить весь подъезд требоваться отлов обитать чердак"
" |text возле остановка бегать несколько собака фото попасть ночью недалеко это место бегать лаять огромный стая дикий собака поместить весь собака приют"
" |text бродячий животное детский площадка просить принять мера"
" |text третье подьезда химик жить чело который подкармливать собака бездомный защищать территория невозможно пройти мимо ряд детский сад ребенок"
" |text жк южный парк долгий время бродить дать собака находиться непосредственный близость человек ребенок особенно ребенок любить играть четверг именно дать собака укусить нога также начинать лаять человек причина"
" |text добрый время сутки писать ранее заявка отписаться собака отловить бегать продолжать нападать прохожий группа жильцов ватсап пострадать еще прикладывать фото собака внимательный пожалуйста"
" |text большой количество бездомный собака ошейник который надеть ребенок писать сюда никак мочь весь собака поймать увезти приют собака постоянно лаять давать спать ночь днем давать пройти прохожий почтальон"
" |text комплекс бегать бродячий белый собака лаять человек коляска ребенок"
" |text угол дом ул фучик бегать свора собака бездомный страшно жить просить отловить весь"
" |text стая агрессивный собака бегать голубой район бросаться лай прохожий велосипедист"
" |text сегодня напасть собака"
" |text возле здание администрация бегать большой собака который естественно забегать двор агрессивный кидаться ребенок еще собрать возле свора"
" |text бездомный собака создавать опасность население бегать ребенок находиться район дом ул гафиятуллин просить отреагировать"
" |text двор улица зилантовский тансык бегать бездомный собака черный цвет который рост около метр очень страшно вчера стать лаять бросаться мальчик который просто ехать велосипед пожалуйста принять мера"
" |text родиться щенок бездомный собака около штука мать щенок бросаться прохожий ребенок мочь выйти погулять ряд школа детский сад принять нибыть мера сколько обращаться весь отписка отловить самый дело"
" |text дом сабан стая бродячий собака громкий давать кидаться человек ребенок бояться ряд проходить весь ночь очень громкий лай принять пожалуйста мера"
" |text агрессивный стая собака постоянно обитать ул ноксинский нападать прохожий просить отловить усыпить опасный животное"
" |text парковка тц франт заметить стая бродячий собака это собака охрана парковка собака просить отловить бродячий животное"
" |text огромный псиный разорвать кошка мочь человек напасть почему бродячий собака улица ряд садикия школа"
" |text бродяга жить давно наш улица страшно ходить пешком"
" |text двор дом б ул натан рахлина очень бездомный собака который угрожать жизнь здоровье гулять детский площадка число ребенок просить принять мера отлов бездомный собака"
" |text около рынок серый собака звездочка уха лаять прохожий кусать схватить нога толстой джинсы"
" |text ради бог помочь стая собака около начать нападать человек вечером выйти ребенок двор гулять жить двор дом ибрагимов напасть знакомый укусить пожалуйста избавить наш двор"
" |text это ужас неделя чт проснуться утром лай выглядывать окно огромный собака разорвать возле подъезд кошка сегодня июль проснуться лай собака самый собака разорвать маленький котенок заявка оставить департамент толк"
" |text добрый вечер последний надежда невозможно гулять двор ребенок двор детский площадка собака кидаться взрослый ребенок очень опасный гулять ребенок помочь пож"
" |text добрый вечер ленинский паркекоторый находиться улица горький год тетюши ходить стая собака период агрессивно реагировать человек просьба разобраться очень страшно ребенок"
" |text июль год очередной нападение бродячий собака рано утром район около подъезд дом улица искра пять бродячий собака наброситься домашний кот который гулять ребенок собака глаз житель двор ребенок год разодрать смерть кот"
" |text около магазин магнит постоянно обитать стая бродячий собака шт кормиться мусорный контейнер собака вести очень агрессивно просить отловить опасный животное заодно совместить рейд заявка номер возможно это часть стая"
" |text жить ул дуслара приходиться ходить ул боков переулок улица находиться бездомный который фото данный момент проходить лечение укус собака это время появиться новый приплод просить принять мера"
" |text около дом улица зилантовский поселиться большой черный собака рост около метр спать детский площадка носиться весь район лаять окружающий очень страшно скоро начаться учебный год ребенок ходить школа просить принять мера"
" |text бездомный собака щенок щенок агрессивный голодный воспитать собака нужно делать щенок крупный никто брать хотеть скоро зима щенок вырасти стать стая рвать пакет еда рука прохожий е"
" |text улица герцен коровский район гулять стая собака собака агресиный лаять человек невозможно пройти улица взрослый ребенок решить проблема"
" |text февраль год обращаться повод отлов бездомный собака маленький стать просить еще произвести отлов бездомный собака который собираться стая гараж адрес ул заря далее около строиться дом весь ночь стоить жуткий лай собака покой"
" |text территория поселок петровский большой количество бездомный собака просить принять мера избежание несчастный случай"
" |text двор бездомный пес больший размер отловить пожалуйста"
" |text неделя бегать стая собака очень аггресивный лаять кидаться человек"
" |text добрый день двор ул фатых амирхан далее обитать стая бездомный собака порядок особый собака весь крупный агрессивный днем мочь пробежать мимо вечером ночью непременно хотеть накинуться двор каждый день играть ребенок просить принять мера"
" |text проживать год елабуга улица окружный шоссе дом мыть дом проживать ребенок младший школьный возраст свой ребенок бояться выйти детский площадка постоянно бегать лежать драться бездомный собака принять мера"
" |text мжк бегать стая собака необходимый решить проблема"
" |text бродячий собака собираться стая вечером невозможно вернуться домой место обитание возле база весь ул гудованцев собака появиться щенок размножение контролировать перестать это закрывать глаз"
" |text жк голубой озеро улица курай около дом обитать стая бездомный собака"
" |text просить вывезти бездомный собака указанный местоположение"
" |text неоднократно подаваться заявка отлов отписка поймать собака факт бегать бегать ряд парк ребенок отловить пожалуйста"
" |text большой количество бродячий собака который сбиваться стая место обитание возле базар весь улица гудованцев собака появиться щенок неконтролируемый плодиться скоро стая несколько вовремя отреагировать"
" |text добрый день просить принять мера относительно собака обитать территория жби бриз жить круглый год снт смородинка дом соседний участок приходить собака жби возможно выйти дом ходить мимо жби лаять"
" |text стая бездомный собака облюбовать это место гк радар овраг бросаться человек свидетель облаивать женщина мужчина сегодня кинуться еле отбиться просить срочно принять мера пока случиться несчастие нибыть искусать загрызть насмерть"
" |text решить проблема ребенок бояться гулять"
" |text ежедневно утро вечер около дом короленко лаять собака невозможно уложить ребенок дом спать просить отреагировать"
" |text бетонный плита лежать мочь травмировать ребенок плита бесхозный просить убрать"
" |text вчера проходить возле деть сад прийтись бежать испуг свора собака около псовый идти заполонить весь дорога перебрасывать терзать котенок возле ворота деть сад ряд игровой площадка взрослый ребенок просто бежать оттуда ребенок напасть мера принять страшно"
" |text возможно отпустить ребенок двор"
" |text возле дом агрызский бродячий собака"
" |text возле остановка бездомный собака"
" |text остановка ул халитовый бездомный собака"
" |text дать двор водиться несколько агрессивный собака черный белый нападать человек ребенок лаять днем ночью просить принять мера отловить изолировать общество это угрожать жизнь здоровье человек"
" |text ряд детский садик буратино бегать стая бездомный собака необходимый отлов"
" |text год муж возвращаться ребенок х год прогулка собака начать бросаться именно ребенок который идти папа ручка это случай наш двор хоршо муж смочь отогнать собака испуг ребенок сильнейший опасность огромный никто решать проблема"
" |text появиться очень бездомный собака очень страшно ребенок который играть двор очень часто лаять прохожий бегать весь сразу думать накормить"
" |text добрый день отличный город нефтяной столица велодорожка зона отдых здорово вопрос безнадзорный животный решить мочь сей пора скоро сентябрь школа начать кусать детишки неужели это дорогой велодорожка решить пожалуйста вопрос спасибо"
" |text стая бездомный собака щенок около особый нападать ребенок пугать лай проходить"
" |text двор детский площадка ул оршанский жить большой собака шестью щенок кидаться лаять прохожий ребенок бояться выходить улица обращаться местный администрация результат пока никакой просить принять мера"
" |text двор далее ул марджани обитать бездомный собака сегодня днем наброситься идти продукт ребенок напугать"
" |text стая лающий собака сегодня число территория деть сад n карбышев вечер темно вход сторона гараж вход сторона больница лай ворота видеть собака душить бог отдать устранить опасный псиный смочь сфоткать испугаться еле уползти"
" |text куча бездомный псовый который кидаться прохожий дом адрес надеждинский бездомный собака стемнеть страшно мимо проходить убивать мелкий скот домашний кошка"
" |text ранее подавать жалоба бегать улица еще весь избавиться щас наглый двор заходить шт"
" |text добрый день сегодня год стая собака агрессивно напасть жительница поселок строитель спастись обращаться это повод настоящий угроза населить пункт просить принять мера хороший отлавливать собака заранее устранять тяжелый последствие"
" |text около дом жить собака кидаться ребенок день покусать мимо проходить ребенок пожалуйста принять мера"
" |text территория стадион энергетик наверное несколько год постоянно обитать стая крупный бездомный собака ввести достаточно агрессивно проводиться массовый мероприятие бывать очень ребенок мочь пора это сделать"
" |text территория снт казанка бегать стая бездомный собака"
" |text напротив пол поселиться стая бродячий собака около штука пропитание приходить наш дом ближний лазеть мусорка устраивать беспорядок рычать человек ребенок бояться выходить подъезд случай приходиться отбиваться"
" |text улица жуков вдоль забор предприятие теплосеть напротив лицей обосноваться стая собака подрастать щенок весь свора периодически нападать двигаться тротуар напротив объект ребенок скоро школа помочь"
" |text возле дом очень бездомный собака который приходить частное сектор шугать ребенок нападать человек просить принять мера"
" |text деревня бегать бездомный собака уничтожать домашний птица собака забор забираться двор дом минимум семья загрызаны кура утка гол кот случай собака пытаться накинуться хозяин дом бояться выходить улица"
" |text двор снова поселиться свора собака видимо вновь прислать зимовать половина год назад нападать пугать лаять давать спокойно жить житель окрестный дом помочь пожалуйста год помочь обращаться многий мочь жтота рпз весь поменяться смочь"
" |text двор дом ряд детский спортивный площадка постоянно разгуливать свора бездомный собака лаять ребенок взрослый мочь представлять угроза здоровье жизнь просить срочно принять мера"
" |text заявка решить собака бегать давать целое днями"
" |text бегать свора бездомный собака"
" |text убрать весь собака невозможео гулять ребенок опасный"
" |text стая собака весь лето бегать двор жк комсомольский детский площадка лаять ребенок лежать песочница близлежащий дом играть ребенок ходить стая скоро школа ребенок бояться выходить улица помочь пожалуйста"
" |text просить принять мера отноша стая больший собака примерно особый который регулярно находиться адрес общий двор дом ул восстание жилец опасаться свой ребенок заходить тереть ия деть площадка скоро холод собака стать агрессивень"
" |text стая семь собака бродить район магазин пятерочка остановка ул лермонтов элеваторный гора просить отловить"
" |text здравствовать мирный стая бездомный собака лаять машина человек собака около просить пристроить"
" |text жк залесный сити прибиться свора бездомный щенок бегать гадить детский площадка лаять коляска ребенок щенок клещ просить принять мера угроза здоровье ребенок"
" |text здравствовать наш двор проспект универсиада появиться бездомный собака ребенок бояться идти школа собака нападать ребенок помочь пожалуйста"
" |text двор дом дачный детский площадка жить собака каждый год становиться большой сегодняшний день около штука вчера лично загнать угол покусать сегодня ребенок пойти школа ситуация просить принять мера спасибо"
" |text двор дом пр ф амирхан сей пора бегать стая собака никакой мера отлов животное принять весь заявка народный контроль отписка пес нападать человек требовать разобраться бездомный собака произвести отлов"
" |text дом ул тинчурина парка тинчурина постоянно находиться крупный черный бездомный собака"
" |text просить принять мера отлов бездомный собака обосноваться территория школа интернат мимо пройти выскакивать защищать свой территория лай бросаться ребенок взрослый вечером мимо идти страшно собака поводок пара прихватить мимо ходить ребенок школа"
" |text стая собака бросаться человек ребенок бояться идти школа"
" |text стая бездомный собака нападать домашний скотина человек мкр урсало ул метр файзь далее"
" |text бездомный собака ходить мкр солнечный город лето вырасти щенок лаять прохожий опасный отпускать ребенок лаять ночь нарушать покоить"
" |text бродить стая бездомный собака штука"
" |text неоднократно обращаться повод отлов стая бездомный собака который раздирать местный кошка пугать ребенок идти школа проходить мимо самый сердце замирать крутиться возле дом ул тополевый тополевый"
" |text ряд офис бродить стая собака недавно стать большой периодически лаять человек давать пройти мимо напасть человек успеть спрятаться офис"
" |text бездомный собака загрызть коза огород прямо глаз ребенок огромный просьба весь сосед принять мера"
" |text территория жк арт сити темный время сутки неоднократно заметить стая бродячий собака"
" |text территория гск бегать стая собака"
" |text адрес гагарин район школа обитать собака агрессивно настроить ребенок просьба принять мера"
" |text здравствовать просить убрать собака налететь чудом остаться живой мальчик ряд спасти постоянно копаться мусорка сегодня объект"
" |text около школа n бегать стая бездомный собака менее собака принять мера ребенок бояться собака крупный ошейник"
" |text нападение бездомный собака ребенок собака лаять огрызаться хотеть наброситься ребенок счастие отпугнуть прохожий человек"
" |text бездомный кошка подъезд загадить весь подъезд подъезд нечего дышать требоваться отлов находиться лестничный клетка го этаж чердачный помещение"
" |text стая бездомный собака бросаться ребенок ребенок ходить школа младший учиться смена темнеть рано собака стая бегать около территория школа ряд школа стоять мусорный контейнер руководство школа бездействовать ребенок отказываться ходить школа страшно"
" |text бегать стая бродячий собака"
" |text дикий бездомный собака кидаться ребенок ребенок школа бояться ходить собака ходить стая собака"
" |text парка калейдоскоп возле гимназия часто встретить бездомный собака целовать свора сегодня наброситься укусить мама одноклассница дочь"
" |text дорога ул профессор камай школа гимназия бегать бездомный собака принять мера спасибо"
" |text территория утром бродить стая собака кидаться человек просить принять мера"
" |text поселок отар пересечение улица центральный озерный ходить стая собака колличество особый принять пожалуйста мера бояться отпускать ребенок улица"
" |text адрес залесный очень дворовый собака который часто набрасываться домашний животное достаточно часто плодиться просить забрать маленькая щенок который скоро подрасти бегать огромный стая местный псовый"
